| shape | baseline exit | planned exit | planned == baseline | effect (baseline) | source values swapped (i↔j) vs baseline | T1 | NI1: `@env:` + endings == oracle | interim (NI3) == oracle | NI8 corpus in the variable: OTHER's wallet; == oracle; refused Linux/interim | Nm13 leading dash == oracle (Linux, interim) |
|---|---|---|---|---|---|---|---|---|---|---|
| addresses phrase+passphrase | 0 | 0 | **yes** | `0  bc1qrm3qju2002wmwly8x2ee7ghdaunexsndwgedwv` | 0↔1: differs (exit 1) | ok | 16/16 (+26 refused) | 16/16 (+26 refused) | 0 OTHER; 0/0 eq; 42/42 refused | 3/3, 3/3 |
| restore phrase+passphrase | 0 | 0 | **yes** | `master fingerprint: 45fbfbe6  (passphrase: applied)` | 0↔1: differs (exit 1) | ok | 16/16 (+26 refused) | 16/16 (+26 refused) | 0 OTHER; 0/0 eq; 42/42 refused | 3/3, 3/3 |
| restore ms1+passphrase | 0 | 0 | **yes** | `master fingerprint: 45fbfbe6  (passphrase: applied)` | 0↔1: differs (exit 1) | ok | 16/16 (+26 refused) | 16/16 (+26 refused) | 0 OTHER; 0/0 eq; 42/42 refused | 3/3, 3/3 |
| derive-child phrase+passphrase | 0 | 0 | **yes** | `target biology midnight canal glass common include trophy glimpse north castle dove` | 0↔1: differs (exit 1) | ok | 16/16 (+26 refused) | 16/16 (+26 refused) | 0 OTHER; 0/0 eq; 42/42 refused | 3/3, 3/3 |
| bundle slot+passphrase | 0 | 0 | **yes** | `mk1qpd2y2pqqsqk4z99gdzlh7lxqvzg3vs7vs57ls3u2nlnjvzn90ffnjpcsauf2eggmpdquu02l9k7dpjhxhs3yaa` | 0↔1: differs (exit 1) | ok | 16/16 (+26 refused) | 16/16 (+26 refused) | 0 OTHER; 0/0 eq; 42/42 refused | 3/3, 3/3 |
| bundle wsh-multi 2 slots | 0 | 0 | **yes** | `mk1qpm6gzpqqspdayp9s00fqfvrw0za5zs8qjyty8kskx54hpzzjwjpds9j69su6hyzpkdq32t74e44wnhpg9dj4y5` | 0↔1: differs (exit 0) | ok | 16/16 (+26 refused) | 16/16 (+26 refused) | 0 OTHER; 0/0 eq; 42/42 refused | n/a |
| bundle wsh-multi 2 slots+passphrase | 0 | 0 | **yes** | `mk1qpgaqcpqqspywsvg03r5rzrughalhes8qjyty83nr0wscquatny8cq3ctkcnc7w7lklfeq66dhl2ml4aacj89mq` | 0↔1: differs (exit 1); 0↔2: differs (exit 1); 1↔2: differs (exit 1) | ok | 24/24 (+39 refused) | 24/24 (+39 refused) | 0 OTHER; 0/0 eq; 63/63 refused | 3/3, 3/3 |
| convert phrase+passphrase | 0 | 0 | **yes** | `xpub: xpub6CPUCVp94gpNs3bS1eGiwSWwZMLNmfr2Uo1t5v8YtY4XVoxhUraBH7sRyVfgwSNCxRVpX1bDREtc5Kri` | 0↔1: differs (exit 1) | ok | 16/16 (+26 refused) | 16/16 (+26 refused) | 0 OTHER; 0/0 eq; 42/42 refused | 3/3, 3/3 |
| convert wif+bip38-passphrase | 0 | 0 | **yes** | `bip38: 6PYP8fdoVaE3ThLmEnYcGo3nJeBqd8PvB7CRvTz3TX5L9ojoPHKCg7QXG6` | 0↔1: differs (exit 1) | ok | 16/16 (+26 refused) | 16/16 (+26 refused) | 0 OTHER; 0/0 eq; 42/42 refused | 3/3, 3/3 |
